Run;File;n_obs;load_ms;exec_ms
18;NEABT_input_500.pl;500;21;8
18;NEABT_input_1000.pl;1000;45;14
18;NEABT_input_2000.pl;2000;85;27
18;NEABT_input_5000.pl;5000;234;72
18;NEABT_input_10000.pl;10000;449;168
19;NEABT_input_100.pl;100;4;1
19;NEABT_input_500.pl;500;22;6
19;NEABT_input_1000.pl;1000;45;15
19;NEABT_input_2000.pl;2000;87;28
19;NEABT_input_5000.pl;5000;214;69
19;NEABT_input_10000.pl;10000;460;137
20;NEABT_input_100.pl;100;4;1
20;NEABT_input_500.pl;500;21;6
20;NEABT_input_1000.pl;1000;41;14
20;NEABT_input_2000.pl;2000;83;29
20;NEABT_input_5000.pl;5000;214;71
20;NEABT_input_10000.pl;10000;455;138
21;NEABT_input_100.pl;100;4;1
21;NEABT_input_500.pl;500;21;7
21;NEABT_input_1000.pl;1000;42;13
21;NEABT_input_2000.pl;2000;86;29
21;NEABT_input_5000.pl;5000;208;69
21;NEABT_input_10000.pl;10000;540;155
22;NEABT_input_100.pl;100;4;1
22;NEABT_input_500.pl;500;22;7
22;NEABT_input_1000.pl;1000;42;13
22;NEABT_input_2000.pl;2000;86;28
22;NEABT_input_5000.pl;5000;217;69
22;NEABT_input_10000.pl;10000;449;136
23;NEABT_input_100.pl;100;4;1
23;NEABT_input_500.pl;500;21;7
23;NEABT_input_1000.pl;1000;43;14
23;NEABT_input_2000.pl;2000;82;28
23;NEABT_input_5000.pl;5000;219;71
23;NEABT_input_10000.pl;10000;457;136
24;NEABT_input_100.pl;100;4;1
24;NEABT_input_500.pl;500;21;7
24;NEABT_input_1000.pl;1000;41;16
24;NEABT_input_2000.pl;2000;88;30
24;NEABT_input_5000.pl;5000;237;68
24;NEABT_input_10000.pl;10000;456;139
25;NEABT_input_100.pl;100;4;1
25;NEABT_input_500.pl;500;22;6
25;NEABT_input_1000.pl;1000;46;15
25;NEABT_input_2000.pl;2000;99;29
25;NEABT_input_5000.pl;5000;218;70
25;NEABT_input_10000.pl;10000;473;147
26;NEABT_input_100.pl;100;5;1
26;NEABT_input_500.pl;500;22;7
26;NEABT_input_1000.pl;1000;46;13
26;NEABT_input_2000.pl;2000;83;27
26;NEABT_input_5000.pl;5000;222;89
26;NEABT_input_10000.pl;10000;499;146
27;NEABT_input_100.pl;100;5;1
27;NEABT_input_500.pl;500;22;7
27;NEABT_input_1000.pl;1000;43;14
27;NEABT_input_2000.pl;2000;92;30
27;NEABT_input_5000.pl;5000;222;71
27;NEABT_input_10000.pl;10000;486;152
28;NEABT_input_100.pl;100;4;1
28;NEABT_input_500.pl;500;22;6
28;NEABT_input_1000.pl;1000;47;14
28;NEABT_input_2000.pl;2000;89;26
28;NEABT_input_5000.pl;5000;219;70
28;NEABT_input_10000.pl;10000;479;139
29;NEABT_input_100.pl;100;4;1
29;NEABT_input_500.pl;500;21;6
29;NEABT_input_1000.pl;1000;54;15
29;NEABT_input_2000.pl;2000;89;33
29;NEABT_input_5000.pl;5000;214;83
29;NEABT_input_10000.pl;10000;467;139
30;NEABT_input_100.pl;100;4;1
30;NEABT_input_500.pl;500;23;7
